"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","ci_lower","ci_upper","ci_width","enough_negative_control"
"GSM8571069_Res-S164","DCs",302,202,100,0.66887417218543,0.61396696460154,0.71953916106666,0.10557219646512,TRUE
"GSM8571070_Res-S166","CD8 T cells",334,187,147,0.559880239520958,0.506262216448377,0.612136514541089,0.105874298092711,TRUE
"GSM8571053_Abd-S81","CD8 T cells",600,318,282,0.53,0.490000404369581,0.569617893569597,0.0796174892000157,TRUE
"GSM8571078_Uri-S134","Monocytes",993,508,485,0.511581067472306,0.48050592419711,0.542566952433854,0.062061028236744,TRUE
"GSM8571079_Uri-S157","Monocytes",1043,526,517,0.50431447746884,0.474011277594646,0.534586012782197,0.0605747351875505,TRUE
"GSM8571044_Abd-S42","CD8 T cells",1089,539,550,0.494949494949495,0.465324570110069,0.524609925958675,0.0592853558486056,TRUE
"GSM8571074_Res-S22","Monocytes",671,330,341,0.491803278688525,0.454131023190521,0.529568852007984,0.0754378288174629,TRUE
"GSM8571065_Res-S100","NK cells",347,166,181,0.478386167146974,0.426351806523597,0.530893839272027,0.10454203274843,TRUE
"GSM8571075_Res-S40","CD8 T cells",617,282,335,0.457050243111831,0.418130122774786,0.496501867007799,0.0783717442330134,TRUE
"GSM8571050_Abd-S67","CD8 T cells",1230,535,695,0.434959349593496,0.407499169510529,0.462824526572007,0.0553253570614783,TRUE
"GSM8571081_Uri-S88","NK cells",225,95,130,0.422222222222222,0.359521639054104,0.487534046657881,0.128012407603777,TRUE
"GSM8571081_Uri-S88","CD8 T cells",358,149,209,0.416201117318436,0.366293675572457,0.46788784636936,0.101594170796903,TRUE
"GSM8571068_Res-S149","CD8 T cells",898,359,539,0.39977728285078,0.368230924403544,0.432177453100658,0.0639465286971137,TRUE
"GSM8571042_Abd-S111","CD8 T cells",535,212,323,0.396261682242991,0.355696244090943,0.438306243685454,0.0826099995945111,TRUE
"GSM8571073_Res-S19","CD8 T cells",539,209,330,0.387755102040816,0.347554073743066,0.429544749432915,0.0819906756898487,TRUE
"GSM8571076_Res-S41","CD8 T cells",727,277,450,0.38101788170564,0.346429165640319,0.416857388629388,0.0704282229890688,TRUE
"GSM8571071_Res-S170","CD8 T cells",772,291,481,0.376943005181347,0.343446156968428,0.411658448695716,0.0682122917272877,TRUE
"GSM8571072_Res-S183","NK cells",327,123,204,0.376146788990826,0.32536656564951,0.429803175504667,0.104436609855157,TRUE
"GSM8571051_Abd-S75","CD8 T cells",203,76,127,0.374384236453202,0.310721806938211,0.442712536975353,0.131990730037142,TRUE
"GSM8571058_HC13","CD8 T cells",1084,401,683,0.369926199261993,0.341692640863412,0.399078408342866,0.0573857674794542,TRUE
"GSM8571072_Res-S183","CD8 T cells",1064,376,688,0.353383458646617,0.32523515404173,0.382586641578972,0.0573514875372416,TRUE
"GSM8571067_Res-S146","CD8 T cells",241,85,156,0.352697095435685,0.295114136586806,0.41490229469089,0.119788158104085,TRUE
"GSM8571051_Abd-S75","NK cells",433,151,282,0.348729792147806,0.305350128890227,0.394769909272703,0.0894197803824758,TRUE
"GSM8571057_HC05","CD8 T cells",1740,603,1137,0.346551724137931,0.324552281915907,0.369227220057209,0.0446749381413023,TRUE
"GSM8571074_Res-S22","NK cells",486,160,326,0.329218106995885,0.288920592896783,0.372194249444964,0.083273656548181,TRUE
"GSM8571044_Abd-S42","NK cells",252,82,170,0.325396825396825,0.270547879763957,0.385489103430098,0.114941223666141,TRUE
"GSM8571066_Res-S118","CD8 T cells",753,238,515,0.316069057104914,0.283865474004902,0.350139776669896,0.0662743026649945,TRUE
"GSM8571050_Abd-S67","CD4 T cells",1417,418,999,0.294989414255469,0.271824770191928,0.319262612293214,0.0474378421012854,TRUE
"GSM8571078_Uri-S134","CD8 T cells",548,160,388,0.291970802919708,0.255456635338286,0.331381221159041,0.0759245858207545,TRUE
"GSM8571077_Res-S70","CD4 T cells",208,59,149,0.283653846153846,0.226748987317145,0.348404995755747,0.121656008438602,TRUE
"GSM8571056_HC01","CD8 T cells",1426,404,1022,0.283309957924264,0.260528747189305,0.307255501765321,0.0467267545760162,TRUE
"GSM8571060_IC09","NK cells",253,71,182,0.280632411067194,0.228866514597786,0.338960266523671,0.110093751925885,TRUE
"GSM8571069_Res-S164","CD8 T cells",339,95,244,0.28023598820059,0.235094744071508,0.330302041624918,0.0952072975534099,TRUE
"GSM8571056_HC01","NK cells",695,191,504,0.274820143884892,0.242936480445687,0.309179387825505,0.0662429073798173,TRUE
"GSM8571054_Abd-S9","CD8 T cells",187,51,136,0.272727272727273,0.213950112175289,0.340654005162432,0.126703892987144,TRUE
"GSM8571068_Res-S149","NK cells",205,54,151,0.263414634146341,0.207867300237114,0.327665536261209,0.119798236024095,TRUE
"GSM8571047_Abd-S51","CD8 T cells",149,36,113,0.241610738255034,0.179932173819402,0.316277816623489,0.136345642804087,TRUE
"GSM8571073_Res-S19","NK cells",224,53,171,0.236607142857143,0.185684783775899,0.29641122890429,0.110726445128391,TRUE
"GSM8571070_Res-S166","NK cells",183,41,142,0.224043715846995,0.169663178545913,0.289771570906956,0.120108392361042,TRUE
"GSM8571066_Res-S118","NK cells",402,90,312,0.223880597014925,0.185855241196387,0.267133123656494,0.0812778824601078,TRUE
"GSM8571055_Abd-S91","CD8 T cells",291,65,226,0.223367697594502,0.179294111900394,0.274649710505155,0.0953555986047613,TRUE
"GSM8571071_Res-S170","CD4 T cells",1262,278,984,0.220285261489699,0.198287649716465,0.243980578203849,0.0456929284873839,TRUE
"GSM8571063_IC23","NK cells",159,34,125,0.213836477987421,0.157252094419689,0.283922157769978,0.126670063350289,TRUE
"GSM8571074_Res-S22","CD8 T cells",1260,269,991,0.213492063492063,0.191754673447269,0.236971141043967,0.0452164675966975,TRUE
"GSM8571046_Abd-S49","NK cells",143,30,113,0.20979020979021,0.15109126989984,0.28367326685575,0.132581996955909,TRUE
"GSM8571057_HC05","NK cells",418,85,333,0.203349282296651,0.167547195440105,0.244554211820072,0.0770070163799668,TRUE
"GSM8571065_Res-S100","CD8 T cells",346,64,282,0.184971098265896,0.1475969557209,0.229263634973891,0.0816666792529911,TRUE
"GSM8571072_Res-S183","CD4 T cells",1579,287,1292,0.181760607979734,0.163518756418841,0.201547154383886,0.0380283979650453,TRUE
"GSM8571054_Abd-S9","CD4 T cells",1063,193,870,0.181561618062088,0.159548375812717,0.205868111892618,0.046319736079901,TRUE
"GSM8571043_Abd-S23","CD8 T cells",362,65,297,0.179558011049724,0.143448730021632,0.222396790199444,0.0789480601778116,TRUE
"GSM8571058_HC13","NK cells",770,138,632,0.179220779220779,0.153743550972406,0.207882794619316,0.0541392436469101,TRUE
"GSM8571066_Res-S118","CD4 T cells",1051,185,866,0.176022835394862,0.154189947513885,0.200215404773507,0.0460254572596219,TRUE
"GSM8571074_Res-S22","CD4 T cells",1648,287,1361,0.174150485436893,0.156604133658796,0.193212403355134,0.0366082696963385,TRUE
"GSM8571081_Uri-S88","CD4 T cells",658,112,546,0.170212765957447,0.143431078773236,0.200822753899433,0.057391675126197,TRUE
"GSM8571045_Abd-S45","CD8 T cells",161,27,134,0.167701863354037,0.117889784619505,0.233001667291334,0.115111882671828,TRUE
"GSM8571055_Abd-S91","NK cells",1599,267,1332,0.166979362101313,0.149501688066005,0.186053307632955,0.0365516195669499,TRUE
"GSM8571053_Abd-S81","CD4 T cells",1061,173,888,0.163053722902922,0.142047916902508,0.186490623668726,0.0444427067662177,TRUE
"GSM8571063_IC23","CD8 T cells",732,117,615,0.159836065573771,0.135075003522885,0.188148777863222,0.0530737743403363,TRUE
"GSM8571062_IC19","CD8 T cells",1532,244,1288,0.159268929503916,0.141800582000877,0.178441755511198,0.036641173510321,TRUE
"GSM8571062_IC19","NK cells",308,49,259,0.159090909090909,0.122478258070433,0.204102624426182,0.0816243663557481,TRUE
