"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"GSM8571053_Abd-S81","DCs",27,25,2,0.925925925925926,4369,1112,2.38192182410423,0.766304073169769,0.979445345939011,0.213141272769243,FALSE,FALSE,FALSE,3,3,2,0.801220799574982,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571068_Res-S149","Monocytes",1142,1052,90,0.921190893169877,4812.5,1305,2.00277742753471,0.904114197562631,0.935443485216709,0.0313292876540783,TRUE,TRUE,TRUE,3,3,2,1.34133027423739,0.266536011758942,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571073_Res-S19","DCs",25,23,2,0.92,4686,1592,2.2544599098216,0.750338910496047,0.977779598715153,0.227440688219106,FALSE,FALSE,FALSE,3,3,2,0.842288280344955,0.623270440251572,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571062_IC19","DCs",80,73,7,0.9125,4898,1956.5,2.15247692680954,0.83023204491525,0.95696799821794,0.12673595330269,TRUE,FALSE,FALSE,3,3,2,1.51813989712734,0.453466912733984,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571057_HC05","Monocytes",273,249,24,0.912087912087912,6990,1600,2.15443471257425,0.872527103690528,0.940212436689256,0.0676853329987281,TRUE,TRUE,TRUE,3,3,2,0.87300063609437,1,"ADT_ok",3,3,2,0.991651061256995,0.626947754353804,"ADT_ok",TRUE,TRUE,"trusted_but_extreme_PLA"
"GSM8571081_Uri-S88","DCs",65,59,6,0.907692307692308,4719,1781,2.64716126785092,0.812879994840396,0.957004910388659,0.144124915548263,TRUE,FALSE,FALSE,3,3,2,1.19384936007521,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571068_Res-S149","DCs",54,49,5,0.907407407407407,5199.5,1484,2.10543113506235,0.800901174090373,0.959798865242971,0.158897691152597,FALSE,FALSE,FALSE,3,3,2,1.34133027423739,0.266536011758942,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571056_HC01","DCs",126,114,12,0.904761904761905,10981,1595,2.91136709678412,0.840895044187875,0.944678384564631,0.103783340376755,TRUE,FALSE,FALSE,3,3,2,1.30553294232635,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571075_Res-S40","DCs",21,19,2,0.904761904761905,4124,1449,2.20445459737293,0.710858609260818,0.973481232561926,0.262622623301108,FALSE,FALSE,FALSE,3,3,2,0.688900827469039,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571071_Res-S170","DCs",161,145,16,0.900621118012422,8371,1311,2.06645425580337,0.844670363988505,0.93789975473581,0.093229390747305,TRUE,FALSE,FALSE,3,3,2,0.947147310614878,0.308877928483354,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571051_Abd-S75","DCs",180,162,18,0.9,5710,1444,2.43810102101967,0.847477852793527,0.935805748869182,0.0883278960756546,TRUE,FALSE,FALSE,3,3,2,1.32227860208739,0.43558282208589,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",TRUE,FALSE,"frequency_QC_fail"
"GSM8571044_Abd-S42","DCs",85,76,9,0.894117647058824,5663,1698,2.49693000409333,0.81086481399579,0.943287592880193,0.132422778884404,TRUE,FALSE,FALSE,3,3,2,0.888072634515406,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571060_IC09","DCs",55,49,6,0.890909090909091,5099,2356,2.60891590678825,0.781744509134465,0.949032749992177,0.167288240857712,FALSE,FALSE,FALSE,3,3,2,1.6931412390268,0.353924201730827,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"GSM8571070_Res-S166","DCs",9,8,1,0.888888888888889,5520,1101,1.26811594202899,0.565000294423344,0.980109112361455,0.415108817938111,FALSE,FALSE,FALSE,3,3,2,0.740713546581506,1,"ADT_ok",3,3,2,0.585985000019452,0.61,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
