"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"DCs","gdT_3",0,0,1,1,-0.569060681218084,2,0.5,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"DCs","pDC",5,0,1,0,3.06036277500604,6,0.833333333333333,0.416666597222234,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD14 Mono",0,0,1,0,-0.547905252797506,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD16 Mono",1,2,0,0,0.763841925897553,5,0.2,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD4 Naive",0,0,0,0,-0.441713298372641,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD4 TCM_1",0,0,0,0,-0.951932454398357,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD8 TEM_2",0,0,0,2,-0.950549746658451,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD8 TEM_4",0,0,0,4,-0.810135775670885,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","CD8 TEM_5",0,0,1,11,-0.814883072244566,12,0.916666666666667,0.499999954545459,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK Proliferating",0,0,0,28,-0.884437244859996,29,0.96551724137931,0.499999982142858,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK_1",0,2,9,559,-0.881183423212501,570,0.980701754385965,0.498217467917616,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK_2",0,4,4,251,-0.886784754304811,262,0.958015267175573,0.492156860815071,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK_3",0,1,1,31,-0.762694235109982,33,0.939393939393939,0.484374984863282,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK_4",0,2,0,15,-0.668786443565148,17,0.882352941176471,0.44117644463668,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","NK_CD56bright",0,1,0,0,0.226134540002484,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","cDC2_2",0,0,0,0,1.68599737179639,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","gdT_2",0,0,0,1,-1.29263164151146,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Early-NK-cells","pDC",2,0,0,0,3.2737606695317,4,0.5,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","CD14 Mono",532,15,28,0,0.91163630985892,575,0.925217391304348,0.474999999151786,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","CD16 Mono",1905,33,62,1,0.795686852951752,2001,0.952523738130934,0.498945841003161,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","Doublet",125,0,3,0,0.86171559697837,128,0.9765625,0.488281246185303,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","HSPC",1,0,0,0,0.149809072759612,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","Platelet",1,0,1,0,0.554251086682436,2,0.5,0.249999875000062,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","cDC2_1",1,0,0,0,1.52670944015909,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Intermediate-Monocytes","pDC",1,0,0,0,2.13288851333436,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","ASDC_mDC",0,19,0,3,2.3553033383336,22,0.136363636363636,0.0681818150826448,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","ASDC_pDC",3,20,0,2,2.69385857424563,25,0.2,0.545454376721819,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","B intermediate kappa",0,0,0,2,1.51495642436988,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","B intermediate lambda",0,0,0,1,0.271210812323455,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","B memory kappa",0,0,0,3,1.52624853757912,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","B memory lambda",0,0,0,1,0.489402093680794,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","B naive kappa",0,0,0,1,1.25072097527364,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD14 Mono",3,4,0,1,0.708111890440598,8,0.5,0.599999813333393,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD16 Mono",459,545,27,40,0.472602259193105,1071,0.465919701213819,0.506410255380165,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD4 CTL",0,0,0,1,-1.37559410590589,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD4 Naive",0,0,0,84,-0.632306391673692,84,1,0.499999994047619,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD4 Proliferating",0,0,0,1,-0.648842917810723,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.711562540892909,5,1,0.49999990000002,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
"Late-NK-cells","CD4 TCM_2",0,0,0,1,-0.904920391241516,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","biologist"
