"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode","Filter_Mode","GT_Source"
"Intermediate-Monocytes","cDC2_1",0,1,0,0,1.4800367418309,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Intermediate-Monocytes","pDC",0,1,0,0,2.12230863593091,1,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","ASDC_mDC",0,20,0,2,2.35818803075533,22,0.0909090909090909,0.0454545433884298,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","ASDC_pDC",3,21,0,1,2.67887789279237,25,0.16,0.522727105027604,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,2,1.34823546812777,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,1,0.432541624278456,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,1.40009850867202,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,0.186365058495072,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,1.43080142867422,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD14 Mono",4,3,0,1,0.793300934304273,8,0.625,0.624999843750039,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD16 Mono",456,540,28,47,0.462422225345861,1071,0.469654528478058,0.511108450674049,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 CTL",0,0,0,1,-1.29014113043942,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 Naive",0,0,0,84,-0.620630438156416,84,1,0.499999994047619,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 Proliferating",0,0,0,1,-0.547462389845732,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.689414989351386,5,1,0.49999990000002,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 TCM_2",0,0,0,1,-0.877726232031529,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 TEM_1",0,0,0,1,-0.385373100464763,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.453140806775919,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 Naive",0,0,0,229,-0.658802901387592,229,1,0.499999997816594,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 Naive_2",0,0,0,4,-0.689636271657708,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.740669503553252,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,6,-0.785709672985905,6,1,0.499999916666681,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.805041141135437,9,1,0.499999944444451,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TEM_1",0,1,0,29,-0.520143245111044,30,0.966666666666667,0.483333317222223,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TEM_2",0,2,0,59,-0.779173985195352,61,0.967213114754098,0.483606549449073,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TEM_3",0,1,0,8,-0.525334159213518,9,0.888888888888889,0.444444395061734,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TEM_4",0,0,0,34,-0.827596027194873,34,1,0.499999985294118,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TEM_5",0,0,0,34,-0.912692090581991,34,1,0.499999985294118,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","CD8 TEM_6",0,0,0,73,-0.588676219398231,73,1,0.499999993150685,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","Doublet",11,0,0,0,0.853179172023546,11,1,0.499999954545459,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","HSPC",0,0,5,52,-0.391531154120965,57,0.912280701754386,0.499999990384616,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","ILC",0,0,1,89,-0.537864269809009,90,0.988888888888889,0.499999994382023,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","MAIT",0,0,0,9,-0.639755551774259,9,1,0.499999944444451,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","NK Proliferating",0,5,5,367,-0.832623087141452,377,0.973474801061008,0.493279568566453,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","NK_1",0,23,9,2300,-0.877662418844993,2332,0.986277873070326,0.495049504737387,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","NK_2",0,99,80,7703,-0.857298151090762,7882,0.977290027911698,0.493655472892379,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","NK_3",0,41,9,1595,-0.780638620132689,1645,0.969604863221885,0.487469437354847,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","NK_4",0,32,6,1118,-0.746723661116577,1156,0.967128027681661,0.486086956099055,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","NK_CD56bright",1,37,4,601,-0.509697707906163,643,0.936236391912908,0.571003114057993,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","Plasma",0,0,1,14,-0.834299579415809,15,0.933333333333333,0.499999964285717,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","Plasmablast",0,0,0,2,-0.727115962291021,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","Platelet",8,1,12,5,0.605524811816822,26,0.5,0.616666587222234,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","Treg Memory",0,0,0,4,-0.771718177159078,4,1,0.499999875000031,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","Treg Naive",0,0,0,11,-0.383512317434327,11,1,0.499999954545459,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","cDC1",7,1,4,2,2.10006186120603,14,0.642857142857143,0.65151501147846,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","cDC2_1",3,0,1,0,1.11865507531855,4,0.75,0.374999906250023,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","cDC2_2",65,103,1,2,1.65170522578818,171,0.391812865497076,0.501948044396376,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","dnT_1",0,0,0,5,-0.681116902864306,5,1,0.49999990000002,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","dnT_2",0,0,1,5,-0.727254263732473,6,0.833333333333333,0.49999990000002,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","gdT_1",0,0,0,1,-0.278327784781426,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","gdT_2",0,1,0,6,-0.563268268868742,7,0.857142857142857,0.428571367346948,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","gdT_3",0,0,0,84,-0.638273750615852,84,1,0.499999994047619,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","gdT_4",0,0,0,12,-0.677834548653861,12,1,0.499999958333337,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Late-NK-cells","pDC",306,234,104,94,2.8559794175982,738,0.5420054200542,0.516463413287106,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","ASDC_mDC",0,4,0,0,2.01422605943669,4,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","CD14 Mono",0,262,0,8,1.30587322438366,270,0.0296296296296296,0.0148148147599451,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","CD16 Mono",0,59,0,4,0.856235773578046,63,0.0634920634920635,0.0317460312421265,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","CD4 TEM_1",0,0,0,1,-0.165473808557134,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Doublet",0,3,0,0,0.940292316326804,3,0,0,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","Eryth",0,0,0,1,1.63023210724705,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","HSPC",0,0,0,42,-0.477145985542116,42,1,0.499999988095238,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
"Monocytes","ILC",0,0,0,1,-0.89847144824923,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual","raw","gmm_dual"
