"contrast","group","sender","receiver","ligand","receptor","lr_interaction","id","scaled_lfc_ligand","scaled_p_val_ligand_adapted","scaled_lfc_receptor","scaled_p_val_receptor_adapted","max_scaled_activity","scaled_pb_ligand","scaled_pb_receptor","fraction_expressing_ligand_receptor","prioritization_score","top_group"
"PLA-platelet.free","PLA","NK.cells","Monocytes","S100A9","TLR4","S100A9_TLR4","S100A9_TLR4_NK.cells_Monocytes",0.845801937567277,0.63778256189451,0.651701877934272,0.730633802816901,0.57047660688332,0.713339457470615,1.001,0.975,0.782129359076736,"PLA"
"PLA-platelet.free","PLA","B.cells","B.cells","S100A12","TLR4","S100A12_TLR4","S100A12_TLR4_B.cells_B.cells",0.998385360602799,0.996770721205597,0.972417840375587,0.977112676056338,0.303886066292563,0.816871533599869,0.74937292243795,0.85,0.782078970241757,"PLA"
"PLA-platelet.free","PLA","NK.cells","B.cells","S100A9","CD36","S100A9_CD36","S100A9_CD36_NK.cells_B.cells",0.845801937567277,0.63778256189451,0.990610328638498,0.994131455399061,0.477994360807601,0.713339457470615,0.816416101046481,0.95,0.781985510179062,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","B.cells","S100A8","TLR4","S100A8_TLR4","S100A8_TLR4_CD4.T.cells_B.cells",0.994079655543595,0.968783638320775,0.972417840375587,0.977112676056338,0.584348059271885,0.573928294487789,0.74937292243795,0.825,0.781474363557628,"PLA"
"PLA-platelet.free","PLA","B.cells","NK.cells","S100A8","CD36","S100A8_CD36","S100A8_CD36_B.cells_NK.cells",0.999192680301399,0.990312163616792,0.903755868544601,0.808098591549296,0.620153615670925,0.814250035726224,0.702246609100326,0.7,0.78122165208392,"PLA"
"PLA-platelet.free","PLA","CD4.T.cells","Monocytes","TGFB1","ITGB3","TGFB1_ITGB3","TGFB1_ITGB3_CD4.T.cells_Monocytes",0.814854682454252,0.843379978471475,0.964495305164319,0.994718309859155,0.812436140885924,0.909527605780573,0.802449572725013,0.35,0.780522909561018,"PLA"
"PLA-platelet.free","PLA","Monocytes","CD4.T.cells","S100A9","CD36","S100A9_CD36","S100A9_CD36_Monocytes_CD4.T.cells",0.888589881593111,0.929494079655544,0.985328638497653,0.992370892018779,0.479016837491046,1.001,0.580070194434512,0.725,0.780496462968017,"PLA"
"PLA-platelet.free","PLA","B.cells","CD4.T.cells","S100A8","CD36","S100A8_CD36","S100A8_CD36_B.cells_CD4.T.cells",0.999192680301399,0.990312163616792,0.985328638497653,0.992370892018779,0.579804355545549,0.814250035726224,0.580070194434512,0.725,0.780454462153933,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","B.cells","ANXA1","FPR2","ANXA1_FPR2","ANXA1_FPR2_CD8.T.cells_B.cells",0.745963401506997,0.898277717976319,0.98650234741784,0.957159624413146,0.630953223232386,0.944924197781031,0.662467285418809,0.65,0.780382708681563,"PLA"
"PLA-platelet.free","PLA","CD8.T.cells","B.cells","HMGB1","TLR2","HMGB1_TLR2","HMGB1_TLR2_CD8.T.cells_B.cells",0.7502691065662,0.870828848223897,0.97593896713615,0.984741784037559,0.350957799872082,1.001,0.763851909111773,0.775,0.780283176994293,"PLA"
