"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"platelet.free-PLA","B.cells","Monocytes","PSEN1","NOTCH4",-0.472,0.522,0.025,0.0281,0.0591,0.000204,0.00234
"PLA-platelet.free","CD4.T.cells","B.cells","LGALS1","CD69",1.85,-1.8,0.025,1.1e-17,5.34e-16,4.05e-11,6.58e-10
"platelet.free-PLA","Monocytes","Monocytes","NAMPT","ITGB1",0.159,-0.109,0.025,0.0108,0.0564,0.144,0.345
"PLA-platelet.free","CD4.T.cells","CD8.T.cells","DUSP18","ITGA6",0.433,-0.383,0.025,5.38e-05,0.000192,2.23e-05,0.000301
"platelet.free-PLA","Monocytes","CD4.T.cells","LFNG","NOTCH1",0.419,-0.369,0.025,2.18e-08,9.93e-07,0.011,0.0222
"platelet.free-PLA","CD8.T.cells","CD4.T.cells","CD48","CD2",0.0908,-0.041,0.0249,0.00603,0.0293,0.516,0.612
"platelet.free-PLA","CD8.T.cells","CD8.T.cells","PSEN1","NOTCH1",0.036,0.0137,0.02485,0.707,0.846,0.893,0.954
"platelet.free-PLA","CD8.T.cells","NK.cells","ADAM10","TSPAN14",-0.0226,0.0719,0.02465,0.663,0.818,0.382,0.688
"platelet.free-PLA","Monocytes","Monocytes","TNFSF10","TNFRSF10D",0.117,-0.0677,0.02465,0.0303,0.12,0.624,0.816
"PLA-platelet.free","CD8.T.cells","Monocytes","ADGRE5","CD55",-0.0322,0.0814,0.0246,0.48,0.676,0.102,0.275
"PLA-platelet.free","Monocytes","CD8.T.cells","CD55","ADGRE5",0.0814,-0.0322,0.0246,0.102,0.275,0.48,0.676
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","CD48","CD244",0.153,-0.104,0.0245,0.000416,0.0012,0.137,0.299
"PLA-platelet.free","B.cells","Monocytes","HLA.A","APLP2",-0.263,0.312,0.0245,0.0023,0.00715,8.74e-09,4.62e-07
"platelet.free-PLA","CD4.T.cells","CD4.T.cells","CD40LG","ITGB1",0.484,-0.435,0.0245,2.52e-08,1.8e-07,7.23e-07,3.93e-06
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","HMGB1","CXCR4",0.296,-0.247,0.0245,5.96e-08,1.8e-06,3.56e-05,0.000444
"platelet.free-PLA","CD8.T.cells","Monocytes","HLA.DMA","CD74",-0.439,0.488,0.0245,3.35e-09,1.5e-07,5.12e-15,1.87e-12
"PLA-platelet.free","NK.cells","NK.cells","TGFB1","TGFBR2",0.0441,0.00486,0.02448,0.455,0.748,0.949,0.992
"platelet.free-PLA","CD8.T.cells","NK.cells","HLA.B","KIR3DL1",0.0529,-0.00419,0.024355,0.0848,0.213,0.98,0.995
"platelet.free-PLA","NK.cells","NK.cells","TNF","TNFRSF1B",-0.0249,0.0734,0.02425,0.886,0.978,0.5,0.783
"platelet.free-PLA","NK.cells","Monocytes","ADAM10","NOTCH2",0.00119,0.0471,0.024145,0.986,0.997,0.418,0.662
"PLA-platelet.free","NK.cells","NK.cells","DUSP18","RPSA",0.267,-0.219,0.024,0.143,0.407,9.06e-05,0.00327
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","MFNG","NOTCH2",-0.0209,0.0689,0.024,0.602,0.774,0.483,0.678
"PLA-platelet.free","Monocytes","CD4.T.cells","NETO2","IL18R1",-0.17,0.218,0.024,0.2,0.426,0.0665,0.109
"platelet.free-PLA","NK.cells","CD4.T.cells","SPON2","ITGA4",0.0521,-0.00412,0.02399,0.759,0.929,0.93,0.956
"PLA-platelet.free","Monocytes","B.cells","TGFBI","ITGB1",0.0529,-0.00511,0.023895,0.317,0.566,0.977,0.986
"platelet.free-PLA","NK.cells","NK.cells","ADAM10","TSPAN17",0.00119,0.0461,0.023645,0.986,0.997,0.727,0.913
"platelet.free-PLA","B.cells","Monocytes","ADAM17","NOTCH4",-0.475,0.522,0.0235,0.0115,0.0281,0.000204,0.00234
"platelet.free-PLA","CD8.T.cells","B.cells","CD70","CD27",-0.51,0.557,0.0235,3.34e-07,8.09e-06,0.00239,0.00738
"PLA-platelet.free","CD4.T.cells","Monocytes","GNAS","PTGIR",0.253,-0.206,0.0235,0.0026,0.00622,0.124,0.313
"platelet.free-PLA","Monocytes","CD8.T.cells","ICAM1","EZR",0.133,-0.086,0.0235,0.143,0.344,0.0409,0.125
"platelet.free-PLA","CD4.T.cells","Monocytes","TNFRSF14","FCAR",0.153,-0.106,0.0235,0.000143,0.000464,0.397,0.644
"platelet.free-PLA","Monocytes","CD4.T.cells","FCAR","TNFRSF14",-0.106,0.153,0.0235,0.397,0.644,0.000143,0.000464
"PLA-platelet.free","Monocytes","CD4.T.cells","ICAM1","SPN",-0.133,0.18,0.0235,0.143,0.344,0.0026,0.00622
"platelet.free-PLA","CD8.T.cells","CD8.T.cells","HLA.E","CD8A",0.108,-0.0611,0.02345,0.0055,0.0273,0.03,0.099
"PLA-platelet.free","Monocytes","CD4.T.cells","ADAM10","TSPAN17",-0.0256,0.0724,0.0234,0.626,0.817,0.37,0.468
"platelet.free-PLA","Monocytes","CD8.T.cells","ICAM2","ITGAM",0.458,-0.412,0.023,6.51e-08,2.49e-06,1.08e-05,0.000163
"PLA-platelet.free","Monocytes","Monocytes","MICB","HCST",0.0214,0.0246,0.023,0.866,0.952,0.606,0.805
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","CD70","CD27",0.51,-0.464,0.023,3.34e-07,8.09e-06,1.25e-08,9.54e-08
"platelet.free-PLA","NK.cells","Monocytes","SIGLEC7","CD4",-0.317,0.363,0.023,0.02,0.125,8.46e-09,4.52e-07
"platelet.free-PLA","CD4.T.cells","NK.cells","HLA.B","KIR3DL2",0.00476,0.0408,0.02278,0.914,0.947,0.812,0.953
"PLA-platelet.free","NK.cells","CD4.T.cells","CD244","LAT",-0.0364,0.0818,0.0227,0.767,0.934,0.325,0.421
"platelet.free-PLA","CD4.T.cells","Monocytes","CEACAM21","LILRA6",0.0889,-0.0436,0.02265,0.231,0.316,0.585,0.79
"PLA-platelet.free","Monocytes","NK.cells","CD99","PILRA",0.617,-0.572,0.0225,3.36e-09,2.16e-07,0.0385,0.188
"PLA-platelet.free","CD4.T.cells","CD8.T.cells","HLA.F","KLRD1",-0.151,0.196,0.0225,0.00106,0.00279,0.00486,0.0246
"platelet.free-PLA","NK.cells","Monocytes","TNFRSF14","FCAR",0.151,-0.106,0.0225,0.0156,0.106,0.397,0.644
"platelet.free-PLA","Monocytes","NK.cells","FCAR","TNFRSF14",-0.106,0.151,0.0225,0.397,0.644,0.0156,0.106
"PLA-platelet.free","CD4.T.cells","B.cells","MFNG","NOTCH2",-0.1,0.145,0.0225,0.038,0.0664,0.323,0.427
"platelet.free-PLA","NK.cells","Monocytes","SEMA4A","PLXNB2",-0.159,0.204,0.0225,0.433,0.73,0.000729,0.00675
"platelet.free-PLA","CD8.T.cells","NK.cells","CLEC2D","KLRB1",-0.0562,0.101,0.0224,0.24,0.436,0.526,0.801
"PLA-platelet.free","NK.cells","CD8.T.cells","TNFSF13","TNFRSF1A",0.0302,0.0146,0.0224,0.901,0.981,0.771,0.885
"PLA-platelet.free","CD8.T.cells","Monocytes","FAM3C","LAMP1",0.0545,-0.00975,0.022375,0.481,0.677,0.87,0.953
"platelet.free-PLA","Monocytes","CD8.T.cells","ICAM1","SPN",0.133,-0.0885,0.02225,0.143,0.344,0.0338,0.109
"platelet.free-PLA","Monocytes","NK.cells","HLA.B","KIR3DL1",0.0486,-0.00419,0.022205,0.158,0.366,0.98,0.995
"PLA-platelet.free","Monocytes","NK.cells","LILRA6","CD300E",0.0436,0.000603,0.0221015,0.585,0.79,0.998,0.999
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","ICAM2","ITGAL",-0.302,0.346,0.022,5.83e-09,2.41e-07,2.35e-06,1.14e-05
"PLA-platelet.free","NK.cells","NK.cells","SELL","SELPLG",0.172,-0.128,0.022,0.183,0.466,0.0403,0.193
"PLA-platelet.free","NK.cells","NK.cells","SELPLG","SELL",-0.128,0.172,0.022,0.0403,0.193,0.183,0.466
"platelet.free-PLA","Monocytes","NK.cells","SIRPB2","CD47",-0.164,0.208,0.022,0.0177,0.0809,0.0184,0.118
"platelet.free-PLA","CD8.T.cells","B.cells","PTDSS1","JMJD6",0.0987,-0.0553,0.0217,0.0588,0.163,0.803,0.862
"PLA-platelet.free","Monocytes","CD8.T.cells","ADAM10","NOTCH2",-0.0256,0.0689,0.02165,0.626,0.817,0.483,0.678
"PLA-platelet.free","NK.cells","NK.cells","TGFB1","TGFBR3",0.0441,-0.000977,0.0215615,0.455,0.748,0.994,0.998
"PLA-platelet.free","CD4.T.cells","NK.cells","HLA.A","KIR3DL2",0.0839,-0.0408,0.02155,0.0384,0.067,0.812,0.953
"PLA-platelet.free","B.cells","Monocytes","CD48","CD244",0.167,-0.124,0.0215,0.0752,0.133,0.42,0.664
"platelet.free-PLA","B.cells","Monocytes","LFNG","NOTCH1",0.221,-0.178,0.0215,0.0761,0.134,0.0455,0.16
"platelet.free-PLA","CD8.T.cells","Monocytes","ITGAL","ICAM1",-0.0902,0.133,0.0214,0.0414,0.126,0.143,0.344
"platelet.free-PLA","Monocytes","CD8.T.cells","ICAM1","ITGAL",0.133,-0.0902,0.0214,0.143,0.344,0.0414,0.126
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","MIF","CD44",-0.0396,0.0824,0.0214,0.224,0.415,0.0317,0.0566
"PLA-platelet.free","CD8.T.cells","NK.cells","TGFB1","ITGB1",0.0798,-0.037,0.0214,0.0119,0.0496,0.687,0.892
"PLA-platelet.free","CD8.T.cells","NK.cells","MIF","CD44",-0.0396,0.0822,0.0213,0.224,0.415,0.467,0.759
"platelet.free-PLA","CD8.T.cells","CD8.T.cells","TGFB1","TGFBR1",-0.0798,0.122,0.0211,0.0119,0.0496,0.135,0.296
"platelet.free-PLA","Monocytes","CD4.T.cells","CD244","LAT",0.124,-0.0818,0.0211,0.42,0.664,0.325,0.421
"PLA-platelet.free","CD8.T.cells","Monocytes","LGALS9","PTPRC",0.221,-0.179,0.021,0.0461,0.136,7.05e-05,0.000956
"platelet.free-PLA","B.cells","Monocytes","TGOLN2","BTN3A1",-0.198,0.24,0.021,0.0831,0.143,0.0247,0.104
"PLA-platelet.free","CD8.T.cells","NK.cells","ICAM1","ITGAL",0.175,-0.133,0.021,0.156,0.326,0.0326,0.17
"PLA-platelet.free","NK.cells","CD8.T.cells","ITGAL","ICAM1",-0.133,0.175,0.021,0.0326,0.17,0.156,0.326
"PLA-platelet.free","NK.cells","Monocytes","MFNG","NOTCH1",-0.136,0.178,0.021,0.0908,0.314,0.0455,0.16
"PLA-platelet.free","Monocytes","Monocytes","SIGLEC14","IFNGR1",0.18,-0.138,0.021,0.215,0.448,0.013,0.0644
"PLA-platelet.free","CD8.T.cells","NK.cells","ADAM17","ITGB1",0.0789,-0.037,0.02095,0.316,0.522,0.687,0.892
"platelet.free-PLA","NK.cells","Monocytes","TGFB1","TGFBR2",-0.0441,0.0858,0.02085,0.455,0.748,0.0885,0.251
"platelet.free-PLA","Monocytes","NK.cells","F11R","ITGAL",-0.0913,0.133,0.02085,0.458,0.697,0.0326,0.17
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","HLA.A","CD8A",-0.0196,0.0611,0.02075,0.463,0.66,0.03,0.099
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","CD48","CD2",-0.0908,0.132,0.0206,0.00603,0.0293,0.00112,0.0077
"PLA-platelet.free","Monocytes","Monocytes","ENTPD1","TMIGD3",0.0597,-0.0187,0.0205,0.43,0.675,0.899,0.964
"PLA-platelet.free","NK.cells","Monocytes","ICAM1","ITGAX",0.145,-0.104,0.0205,0.333,0.643,0.0387,0.142
"PLA-platelet.free","NK.cells","CD8.T.cells","HLA.DRB1","LAG3",-0.248,0.289,0.0205,0.0334,0.173,6.11e-06,0.000101
"PLA-platelet.free","Monocytes","B.cells","ADAM17","ITGB1",0.0461,-0.00511,0.020495,0.414,0.66,0.977,0.986
"PLA-platelet.free","NK.cells","CD4.T.cells","CD58","CD2",-0.000638,0.041,0.020181,0.994,0.998,0.516,0.612
"platelet.free-PLA","Monocytes","CD8.T.cells","PSEN1","NOTCH2",0.109,-0.0689,0.02005,0.0938,0.26,0.483,0.678
"platelet.free-PLA","CD4.T.cells","B.cells","TNFSF13B","TNFRSF13C",-1.42,1.46,0.02,4.55e-09,3.8e-08,4.83e-09,5.32e-08
"platelet.free-PLA","NK.cells","CD4.T.cells","S100A8","CD69",-0.621,0.661,0.02,0.0845,0.302,1.48e-12,2.56e-11
"platelet.free-PLA","CD4.T.cells","Monocytes","CD2","CD53",-0.041,0.081,0.02,0.516,0.612,0.0634,0.201
"platelet.free-PLA","B.cells","NK.cells","HMGB1","TLR2",0.408,-0.368,0.02,0.00186,0.00597,0.133,0.388
"PLA-platelet.free","B.cells","CD4.T.cells","HLA.DRB1","LAG3",-1.35,1.39,0.0199999999999999,1.8e-12,3.87e-11,4.41e-11,5.68e-10
"PLA-platelet.free","B.cells","CD4.T.cells","HLA.DRB5","LAG3",-1.35,1.39,0.0199999999999999,6.69e-11,1.05e-09,4.41e-11,5.68e-10
"PLA-platelet.free","NK.cells","CD8.T.cells","TNF","TNFRSF1A",0.0249,0.0146,0.01975,0.886,0.978,0.771,0.885
"platelet.free-PLA","Monocytes","CD8.T.cells","ADAM10","NOTCH1",0.0256,0.0137,0.01965,0.626,0.817,0.893,0.954
"platelet.free-PLA","NK.cells","CD4.T.cells","TGOLN2","BTN3A1",-0.0393,0.0785,0.0196,0.512,0.792,0.334,0.43
"PLA-platelet.free","CD8.T.cells","Monocytes","CD320","SIGLEC7",0.221,-0.182,0.0195,0.000192,0.0018,0.0038,0.0254
"PLA-platelet.free","Monocytes","CD8.T.cells","SIGLEC7","CD320",-0.182,0.221,0.0195,0.0038,0.0254,0.000192,0.0018
"platelet.free-PLA","Monocytes","CD4.T.cells","GPI","AMFR",0.184,-0.145,0.0195,0.00385,0.0256,0.0679,0.11
"PLA-platelet.free","NK.cells","B.cells","TGFB1","ITGB1",0.0441,-0.00511,0.019495,0.455,0.748,0.977,0.986
"PLA-platelet.free","NK.cells","CD4.T.cells","PTDSS1","JMJD6",-0.0861,0.125,0.01945,0.16,0.431,0.0365,0.0641
"PLA-platelet.free","NK.cells","CD8.T.cells","LGALS9","CD47",-0.0653,0.104,0.01935,0.704,0.899,0.00924,0.0408
"PLA-platelet.free","Monocytes","NK.cells","LGALS3","ENG",-0.00291,0.0414,0.019245,0.942,0.982,0.778,0.939
"PLA-platelet.free","Monocytes","NK.cells","CALR","TAP2",-0.18,0.218,0.019,0.00334,0.0228,0.206,0.498
"platelet.free-PLA","NK.cells","CD8.T.cells","CD48","CD244",0.142,-0.104,0.019,0.0164,0.109,0.137,0.299
"PLA-platelet.free","NK.cells","CD8.T.cells","FAM3C","PDCD1",-0.326,0.364,0.019,0.0166,0.109,3e-04,0.00258
"platelet.free-PLA","CD8.T.cells","NK.cells","GNAS","PTGDR",-0.00846,0.0464,0.01897,0.961,0.988,0.781,0.94
"PLA-platelet.free","CD8.T.cells","NK.cells","ITGB2","CD82",0.113,-0.0751,0.01895,0.00157,0.01,0.715,0.907
"PLA-platelet.free","NK.cells","CD8.T.cells","CD82","ITGB2",-0.0751,0.113,0.01895,0.715,0.907,0.00157,0.01
"platelet.free-PLA","Monocytes","CD4.T.cells","PSEN1","NCSTN",0.109,-0.0712,0.0189,0.0938,0.26,0.349,0.446
"PLA-platelet.free","NK.cells","Monocytes","TNF","LTBR",0.0249,0.0128,0.01885,0.886,0.978,0.819,0.928
"platelet.free-PLA","CD4.T.cells","Monocytes","B2M","TAP2",-0.00506,0.0425,0.01872,0.904,0.94,0.697,0.861
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","HLA.A","KLRK1",-0.0196,0.0567,0.01855,0.463,0.66,0.358,0.562
"PLA-platelet.free","CD4.T.cells","NK.cells","SEMA4D","PLXNB2",-0.191,0.228,0.0185,0.00492,0.0109,0.313,0.625
"platelet.free-PLA","CD4.T.cells","NK.cells","GDF11","TGFBR1",0.186,-0.149,0.0185,0.171,0.245,0.159,0.43
"PLA-platelet.free","Monocytes","CD4.T.cells","B2M","TAP1",-0.162,0.199,0.0185,5.59e-05,0.000786,0.000259,0.000791
"platelet.free-PLA","Monocytes","Monocytes","ICAM3","ITGAL",-0.16,0.197,0.0185,0.00326,0.0224,0.00107,0.00918
"platelet.free-PLA","NK.cells","CD8.T.cells","CD320","TMEM167A",0.316,-0.279,0.0185,0.0641,0.256,2.23e-06,4.3e-05
"PLA-platelet.free","CD4.T.cells","B.cells","B2M","TAP2",0.00506,0.0319,0.01848,0.904,0.94,0.916,0.945
"PLA-platelet.free","Monocytes","Monocytes","HMGB1","CD163",0.118,-0.0814,0.0183,0.0316,0.124,0.273,0.516
"platelet.free-PLA","Monocytes","Monocytes","BACE1","SELPLG",0.0319,0.00437,0.018135,0.841,0.94,0.93,0.978
"platelet.free-PLA","CD4.T.cells","NK.cells","HLA.A","KLRK1",-0.0839,0.12,0.01805,0.0384,0.067,0.409,0.711
"platelet.free-PLA","Monocytes","NK.cells","SERPING1","LRP1",0.617,-0.581,0.018,3.14e-07,9.95e-06,0.0148,0.104
"platelet.free-PLA","CD4.T.cells","Monocytes","SPN","SIGLEC1",-0.18,0.216,0.018,0.0026,0.00622,0.101,0.273
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","CD82","CD37",0.185,-0.149,0.018,0.0207,0.0755,5.97e-05,0.000687
"platelet.free-PLA","Monocytes","CD4.T.cells","SIGLEC1","SPN",0.216,-0.18,0.018,0.101,0.273,0.0026,0.00622
"PLA-platelet.free","B.cells","NK.cells","NUCB2","ERAP1",0.151,-0.115,0.018,0.537,0.633,0.292,0.602
"platelet.free-PLA","B.cells","Monocytes","LIN7C","ABCA1",-0.109,0.145,0.018,0.675,0.754,0.117,0.302
"PLA-platelet.free","Monocytes","B.cells","PSEN1","NOTCH2",-0.109,0.145,0.018,0.0938,0.26,0.323,0.427
"PLA-platelet.free","CD8.T.cells","NK.cells","ICAM1","EZR",0.175,-0.139,0.018,0.156,0.326,0.0379,0.186
"PLA-platelet.free","CD8.T.cells","Monocytes","ICAM1","EZR",0.175,-0.139,0.018,0.156,0.326,0.018,0.0821
"PLA-platelet.free","Monocytes","NK.cells","GRN","TNFRSF1B",0.109,-0.0734,0.0178,0.0196,0.0878,0.5,0.783
"platelet.free-PLA","CD8.T.cells","CD8.T.cells","ADAM10","TSPAN17",-0.0226,0.0579,0.01765,0.663,0.818,0.451,0.649
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","PSEN1","NCSTN",-0.036,0.0712,0.0176,0.707,0.846,0.349,0.446
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","B2M","TAP1",-0.0369,0.0721,0.0176,0.217,0.407,0.0225,0.0803
"platelet.free-PLA","NK.cells","CD4.T.cells","TNFSF14","TNFRSF14",-0.118,0.153,0.0175,0.399,0.701,0.000143,0.000464
"platelet.free-PLA","B.cells","CD8.T.cells","MIF","CD74",0.424,-0.389,0.0175,0.00112,0.00385,9e-11,7.09e-09
"platelet.free-PLA","CD8.T.cells","CD8.T.cells","MFNG","NOTCH1",0.0209,0.0137,0.0173,0.602,0.774,0.893,0.954
"PLA-platelet.free","NK.cells","Monocytes","COPA","SORT1",-0.0707,0.105,0.01715,0.413,0.714,0.0889,0.252
"platelet.free-PLA","Monocytes","NK.cells","LGALS3","LAG3",0.00291,0.0313,0.017105,0.942,0.982,0.861,0.971
"platelet.free-PLA","B.cells","Monocytes","GPI","AMFR",0.227,-0.193,0.017,0.2,0.291,0.0156,0.0739
"platelet.free-PLA","CD4.T.cells","NK.cells","FAM3C","KIR2DL3",0.157,-0.123,0.017,0.12,0.181,0.53,0.803
"platelet.free-PLA","CD4.T.cells","Monocytes","ICAM2","ITGAM",0.221,-0.187,0.017,7.8e-05,0.000269,0.00108,0.00927
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","HLA.F","KLRD1",-0.162,0.196,0.017,0.000419,0.00343,0.00486,0.0246
"PLA-platelet.free","NK.cells","CD8.T.cells","GDF11","TGFBR1",0.156,-0.122,0.017,0.43,0.727,0.135,0.296
"PLA-platelet.free","Monocytes","CD8.T.cells","B2M","KLRD1",-0.162,0.196,0.017,5.59e-05,0.000786,0.00486,0.0246
"PLA-platelet.free","B.cells","CD4.T.cells","ICAM2","ITGAL",-0.312,0.346,0.017,0.0291,0.0607,2.35e-06,1.14e-05
"platelet.free-PLA","Monocytes","B.cells","CLEC11A","ITGB1",0.0288,0.00511,0.016955,0.788,0.911,0.977,0.986
"platelet.free-PLA","Monocytes","CD8.T.cells","LGALS9","CD44",0.0856,-0.0524,0.0166,0.0461,0.161,0.105,0.249
"PLA-platelet.free","CD8.T.cells","Monocytes","GNAS","VIPR1",0.00846,0.0247,0.01658,0.961,0.988,0.801,0.918
"platelet.free-PLA","Monocytes","NK.cells","DUSP18","ITGB1",-0.00385,0.037,0.016575,0.967,0.99,0.687,0.892
"platelet.free-PLA","CD4.T.cells","Monocytes","TNFSF10","TNFRSF10A",0.207,-0.174,0.0165,0.00358,0.00823,0.254,0.496
"PLA-platelet.free","CD8.T.cells","NK.cells","CLEC2B","KLRB1",0.134,-0.101,0.0165,0.000248,0.00219,0.526,0.801
"PLA-platelet.free","CD8.T.cells","NK.cells","CLEC2B","KLRF1",0.134,-0.101,0.0165,0.000248,0.00219,0.498,0.781
"platelet.free-PLA","NK.cells","NK.cells","TNFSF14","TNFRSF14",-0.118,0.151,0.0165,0.399,0.701,0.0156,0.106
"platelet.free-PLA","Monocytes","NK.cells","ICAM4","ITGB2",0.252,-0.219,0.0165,0.0484,0.166,4.23e-05,0.00194
"platelet.free-PLA","NK.cells","NK.cells","FURIN","ADAM19",-0.444,0.477,0.0165,0.000196,0.0057,0.0682,0.264
"PLA-platelet.free","CD8.T.cells","CD8.T.cells","PSEN1","NOTCH2",-0.036,0.0689,0.01645,0.707,0.846,0.483,0.678
"PLA-platelet.free","Monocytes","CD8.T.cells","ADAM17","NOTCH1",0.0461,-0.0137,0.0162,0.414,0.66,0.893,0.954
"platelet.free-PLA","CD8.T.cells","Monocytes","CALM1","PDE1B",-0.107,0.139,0.016,0.000264,0.00232,0.357,0.606
"PLA-platelet.free","CD8.T.cells","NK.cells","GSTP1","TRAF2",0.237,-0.205,0.016,3.64e-08,1.17e-06,0.254,0.557
"platelet.free-PLA","NK.cells","NK.cells","MICA","KLRK1",-0.088,0.12,0.016,0.577,0.833,0.409,0.711
"PLA-platelet.free","Monocytes","CD8.T.cells","TNFSF13","FAS",-0.267,0.299,0.016,9.04e-06,0.000168,3.23e-06,5.9e-05
"PLA-platelet.free","CD8.T.cells","Monocytes","ADAM17","NOTCH2",0.0789,-0.0471,0.0159,0.316,0.522,0.418,0.662
"platelet.free-PLA","CD8.T.cells","B.cells","PTDSS1","SCARB1",0.0987,-0.0671,0.0158,0.0588,0.163,0.828,0.88
"platelet.free-PLA","CD4.T.cells","CD8.T.cells","MFNG","NOTCH2",0.1,-0.0689,0.01555,0.038,0.0664,0.483,0.678
"platelet.free-PLA","B.cells","CD8.T.cells","HLA.A","LILRB1",0.263,-0.232,0.0155,0.0023,0.00715,0.00826,0.0375
"PLA-platelet.free","CD4.T.cells","Monocytes","ADAM10","TSPAN17",0.196,-0.165,0.0155,2.76e-05,0.000106,0.141,0.342
"platelet.free-PLA","NK.cells","Monocytes","TIGIT","NECTIN2",0.144,-0.113,0.0155,0.355,0.663,0.32,0.569
"platelet.free-PLA","Monocytes","NK.cells","NECTIN2","TIGIT",-0.113,0.144,0.0155,0.32,0.569,0.355,0.663
"platelet.free-PLA","NK.cells","B.cells","PTDSS1","JMJD6",0.0861,-0.0553,0.0154,0.16,0.431,0.803,0.862
"PLA-platelet.free","NK.cells","Monocytes","CD96","NECTIN2",-0.0824,0.113,0.0153,0.609,0.85,0.32,0.569
"PLA-platelet.free","Monocytes","NK.cells","NECTIN2","CD96",0.113,-0.0824,0.0153,0.32,0.569,0.609,0.85
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","FAM3C","LAMP1",0.0545,-0.0242,0.01515,0.481,0.677,0.632,0.719
"platelet.free-PLA","CD8.T.cells","NK.cells","PSEN1","NOTCH2",0.036,-0.00571,0.015145,0.707,0.846,0.967,0.994
"platelet.free-PLA","B.cells","NK.cells","DUSP18","ITGA6",-1.24,1.27,0.015,2.72e-05,0.000147,3.81e-07,5.51e-05
"PLA-platelet.free","CD4.T.cells","NK.cells","CD40LG","ITGA5",-0.484,0.514,0.015,2.52e-08,1.8e-07,7.94e-05,0.00297
"PLA-platelet.free","NK.cells","Monocytes","CD82","ITGB2",-0.0751,0.105,0.01495,0.715,0.907,0.0118,0.0601
"PLA-platelet.free","Monocytes","NK.cells","ITGB2","CD82",0.105,-0.0751,0.01495,0.0118,0.0601,0.715,0.907
"platelet.free-PLA","Monocytes","CD4.T.cells","ST14","BTN3A1",-0.0487,0.0785,0.0149,0.541,0.762,0.334,0.43
"PLA-platelet.free","NK.cells","CD4.T.cells","TNF","TRAF2",0.0249,0.00478,0.01484,0.886,0.978,0.965,0.979
"platelet.free-PLA","NK.cells","NK.cells","HLA.A","KIR3DL1",0.0338,-0.00419,0.014805,0.59,0.84,0.98,0.995
"PLA-platelet.free","NK.cells","NK.cells","NAALADL1","CD96",0.112,-0.0824,0.0148,0.378,0.685,0.609,0.85
"platelet.free-PLA","Monocytes","NK.cells","HLA.A","KIR3DL2",-0.0112,0.0408,0.0148,0.74,0.887,0.812,0.953
"platelet.free-PLA","CD4.T.cells","Monocytes","ADAM10","TSPAN14",-0.196,0.225,0.0145,2.76e-05,0.000106,0.000418,0.00429
"PLA-platelet.free","CD8.T.cells","NK.cells","TNFSF14","TNFRSF14",0.18,-0.151,0.0145,0.0154,0.0605,0.0156,0.106
"PLA-platelet.free","NK.cells","Monocytes","ADGRE5","CD55",-0.0526,0.0814,0.0144,0.573,0.829,0.102,0.275
"PLA-platelet.free","Monocytes","NK.cells","CD55","ADGRE5",0.0814,-0.0526,0.0144,0.102,0.275,0.573,0.829
"platelet.free-PLA","Monocytes","CD8.T.cells","MFNG","NOTCH1",0.0148,0.0137,0.01425,0.854,0.947,0.893,0.954
"PLA-platelet.free","CD8.T.cells","NK.cells","ADAM10","NOTCH2",0.0226,0.00571,0.014155,0.663,0.818,0.967,0.994
"platelet.free-PLA","NK.cells","B.cells","NAMPT","ITGB1",0.0229,0.00511,0.014005,0.909,0.984,0.977,0.986
"platelet.free-PLA","Monocytes","Monocytes","ICAM1","ITGB2",0.133,-0.105,0.014,0.143,0.344,0.0118,0.0601
"platelet.free-PLA","Monocytes","Monocytes","ITGB2","ICAM1",-0.105,0.133,0.014,0.0118,0.0601,0.143,0.344
"platelet.free-PLA","B.cells","NK.cells","CD320","SIGLEC7",0.345,-0.317,0.014,0.214,0.307,0.02,0.125
"platelet.free-PLA","NK.cells","B.cells","SIGLEC7","CD320",-0.317,0.345,0.014,0.02,0.125,0.214,0.307
"PLA-platelet.free","CD8.T.cells","NK.cells","GNAS","ADRB2",0.00846,0.0191,0.01378,0.961,0.988,0.865,0.972
"PLA-platelet.free","CD8.T.cells","B.cells","ADAM10","TSPAN17",0.0226,0.00488,0.01374,0.663,0.818,0.988,0.993
"platelet.free-PLA","CD8.T.cells","CD8.T.cells","CD28","CD247",-0.00333,0.0308,0.013735,0.967,0.989,0.5,0.692
"PLA-platelet.free","NK.cells","CD8.T.cells","HLA.A","CD8A",-0.0338,0.0611,0.01365,0.59,0.84,0.03,0.099
