"contrast","sender","receiver","ligand","receptor","lfc_ligand","lfc_receptor","ligand_receptor_lfc_avg","p_val_ligand","p_adj_ligand","p_val_receptor","p_adj_receptor"
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","CD9","CD36",2.88,4.55,3.715,2.59e-15,7.67e-14,6.76e-22,1.56e-19
"PLA-platelet.free","CD4.T.cells","B.cells","S100A8","CD68",5.1,2.32,3.71,1.58e-18,9.59e-17,2.94e-14,8.96e-13
"PLA-platelet.free","CD4.T.cells","B.cells","PECAM1","ITGB3",1.99,5.37,3.68,8.71e-14,1.95e-12,1.22e-17,6.41e-16
"PLA-platelet.free","CD4.T.cells","B.cells","S100A9","CD68",5.02,2.32,3.67,1.09e-17,5.33e-16,2.94e-14,8.96e-13
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","ESAM","ESAM",3.66,3.66,3.66,2.38e-17,1.06e-15,2.38e-17,1.06e-15
"PLA-platelet.free","B.cells","B.cells","S100A9","ITGB2",5.62,1.69,3.655,2.81e-25,1.7e-22,4.62e-17,2.27e-15
"PLA-platelet.free","B.cells","B.cells","S100A8","ITGB2",5.58,1.69,3.635,6.43e-25,2.91e-22,4.62e-17,2.27e-15
"PLA-platelet.free","B.cells","CD4.T.cells","HP","ITGAM",4.93,2.33,3.63,8.63e-15,2.9e-13,2.44e-16,8.69e-15
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","SERPINA1","LRP1",3.82,3.4,3.61,2.03e-21,4.03e-19,4.19e-17,1.71e-15
"PLA-platelet.free","B.cells","CD4.T.cells","PECAM1","ITGB3",2.16,5.04,3.6,6.44e-16,2.63e-14,3.08e-24,1.24e-21
"PLA-platelet.free","CD4.T.cells","B.cells","PF4","LDLR",5.02,2.05,3.535,1.21e-25,7.12e-23,2.76e-06,1.85e-05
"PLA-platelet.free","CD4.T.cells","CD4.T.cells","PECAM1","ITGB3",1.99,5.04,3.515,8.71e-14,1.95e-12,3.08e-24,1.24e-21
"PLA-platelet.free","B.cells","B.cells","PSAP","LRP1",1.9,5.12,3.51,1.66e-19,1.33e-17,1.83e-24,6.92e-22
"PLA-platelet.free","B.cells","B.cells","GP1BA","ITGAM",4.24,2.72,3.48,5.19e-08,4.88e-07,2.14e-16,9.4e-15
"PLA-platelet.free","CD8.T.cells","B.cells","S100A12","CD36",2.03,4.82,3.425,1.41e-13,4.61e-11,2.7e-22,5.63e-20
"PLA-platelet.free","CD4.T.cells","B.cells","S100A8","ITGB2",5.1,1.69,3.395,1.58e-18,9.59e-17,4.62e-17,2.27e-15
"platelet.free-PLA","B.cells","NK.cells","BTLA","CD79A",1.63,5.14,3.385,8.87e-11,1.34e-09,3.1e-24,6.72e-21
"PLA-platelet.free","B.cells","B.cells","VCAN","SELPLG",5.14,1.6,3.37,3.5e-26,3.96e-23,3.3e-13,8.17e-12
"PLA-platelet.free","CD4.T.cells","B.cells","S100A9","ITGB2",5.02,1.69,3.355,1.09e-17,5.33e-16,4.62e-17,2.27e-15
"PLA-platelet.free","B.cells","B.cells","ADAM15","ITGB3",1.31,5.37,3.34,1.06e-06,7.74e-06,1.22e-17,6.41e-16
"PLA-platelet.free","B.cells","B.cells","HP","ITGB2",4.93,1.69,3.31,8.63e-15,2.9e-13,4.62e-17,2.27e-15
"PLA-platelet.free","CD8.T.cells","CD4.T.cells","S100A12","CD36",2.03,4.55,3.29,1.41e-13,4.61e-11,6.76e-22,1.56e-19
"PLA-platelet.free","B.cells","CD4.T.cells","CD14","PLXND1",5.28,1.29,3.285,7.34e-26,6.34e-23,6.28e-10,6.27e-09
