"celltype_clean","celltype.l3","TP","FP","FN","TN","Mean_Z","n","Accuracy","Balanced_Accuracy","Dataset","Method","Mode"
"Intermediate-Monocytes","CD16 Mono",1917,33,50,1,0.652759582138816,2001,0.958520739630185,0.501996171454075,"vaccine","AUCell","gmm_dist_dual"
"Intermediate-Monocytes","Doublet",128,0,0,0,0.816775134043475,128,1,0.49999999609375,"vaccine","AUCell","gmm_dist_dual"
"Intermediate-Monocytes","HSPC",1,0,0,0,0.128147601564176,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Intermediate-Monocytes","Platelet",1,0,1,0,0.57210231900425,2,0.5,0.249999875000062,"vaccine","AUCell","gmm_dist_dual"
"Intermediate-Monocytes","cDC2_1",1,0,0,0,1.77688383738486,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Intermediate-Monocytes","pDC",1,0,0,0,3.09563439708467,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","ASDC_mDC",0,21,0,1,2.64769141345922,22,0.0454545454545455,0.0227272716942149,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","ASDC_pDC",3,22,0,0,3.49779728698828,25,0.12,0.499999833333389,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","B intermediate kappa",0,0,0,2,1.49017301691134,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","B intermediate lambda",0,0,0,1,0.526800817224651,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","B memory kappa",0,0,0,3,1.29899273176954,3,1,0.499999833333389,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","B memory lambda",0,0,0,1,0.212789881205007,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","B naive kappa",0,0,0,1,1.49053066034644,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD14 Mono",3,4,0,1,0.747615834780606,8,0.5,0.599999813333393,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD16 Mono",462,552,24,33,0.350978050631746,1071,0.46218487394958,0.503513769154222,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 CTL",0,0,0,1,-1.20967727467441,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 Naive",0,0,0,84,-0.626846205256242,84,1,0.499999994047619,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 Proliferating",0,0,0,1,-0.600252861260435,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 TCM_1",0,0,0,5,-0.646031220953504,5,1,0.49999990000002,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 TCM_2",0,0,0,1,-0.973394178550294,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 TEM_1",0,0,0,1,-0.0351762337991164,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD4 TEM_2",0,0,0,1,-0.383759368545297,1,1,0.4999995000005,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 Naive",0,0,0,229,-0.634588713379204,229,1,0.499999997816594,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 Naive_2",0,0,1,3,-0.70599610357229,4,0.75,0.499999833333389,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 Proliferating",0,0,0,2,-0.788015664689038,2,1,0.499999750000125,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TCM_1",0,0,0,6,-0.790161525299651,6,1,0.499999916666681,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TCM_2",0,0,0,9,-0.782359599993164,9,1,0.499999944444451,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TEM_1",0,1,0,29,-0.514291274725673,30,0.966666666666667,0.483333317222223,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TEM_2",0,1,0,60,-0.706568723935595,61,0.983606557377049,0.491803270626176,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TEM_3",0,1,0,8,-0.521014971305592,9,0.888888888888889,0.444444395061734,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TEM_4",0,0,0,34,-0.737896495460122,34,1,0.499999985294118,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TEM_5",0,0,1,31,-0.836507906919059,34,0.911764705882353,0.499999983870968,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","CD8 TEM_6",0,0,0,73,-0.580100715191212,73,1,0.499999993150685,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","Doublet",11,0,0,0,0.813760904334755,11,1,0.499999954545459,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","HSPC",0,1,5,51,-0.216018323036182,57,0.894736842105263,0.490384605954142,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","ILC",0,0,1,89,-0.491455079091746,90,0.988888888888889,0.499999994382023,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","MAIT",0,0,0,9,-0.62767219128493,9,1,0.499999944444451,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","NK Proliferating",0,11,6,357,-0.748427287526583,377,0.946949602122016,0.485054346508004,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","NK_1",0,31,23,2203,-0.817752622325567,2332,0.944682675814751,0.493061772384484,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","NK_2",1,127,79,7628,-0.795880674281647,7882,0.9679015478305,0.498061734223382,"vaccine","AUCell","gmm_dist_dual"
"Late-NK-cells","NK_3",0,55,7,1581,-0.72757870723008,1645,0.961094224924012,0.483190708751106,"vaccine","AUCell","gmm_dist_dual"
