"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample"
"621B","B cells",11,0,11,0,2977,920,4.36957971981321,0,0.258832966968032,0.258832966968032,FALSE,FALSE,FALSE
"621B","CD4 T cells",33,0,33,0,5259,635,3.01987767584098,0,0.104269997542452,0.104269997542452,TRUE,TRUE,TRUE
"637C","DCs",5,0,5,0,5920,1316,2.53045923149016,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE
"694B","DCs",30,0,30,0,2918,1282,3.40660223634168,0,0.113513393173969,0.113513393173969,TRUE,TRUE,TRUE
"759B","DCs",2,0,2,0,3086,1823,6.01770171886522,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE
"768B","DCs",4,0,4,0,3283,1433,4.46521540999077,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE
"778C","CD8 T cells",19,0,19,0,3940,358,4.90740740740741,0,0.168179224052616,0.168179224052616,FALSE,FALSE,FALSE
"778C","DCs",15,0,15,0,4354,1340,3.63636363636364,0,0.203883301035849,0.203883301035849,FALSE,FALSE,FALSE
"D496","B cells",17,0,17,0,4278,641,6.73597574182369,1.38777878078145e-17,0.184318135008852,0.184318135008852,FALSE,FALSE,FALSE
"D496","CD4 T cells",1034,0,1034,0,5671,516,6.7657522020922,2.16840434497101e-19,0.00370139272048276,0.00370139272048276,TRUE,TRUE,TRUE
"D496","CD8 T cells",250,0,250,0,5604.5,520,7.25708900294818,8.67361737988404e-19,0.0151332994954446,0.0151332994954446,TRUE,TRUE,TRUE
"D496","NK cells",78,0,78,0,4226.5,752,7.26902976640003,0,0.0469378097121943,0.0469378097121943,TRUE,TRUE,TRUE
"D496","Neutrophils",1,0,1,0,3830,1171,5.30026109660574,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE
"D503","B cells",18,0,18,0,5063.5,283.5,6.14175161401538,0,0.175879223646658,0.175879223646658,FALSE,FALSE,FALSE
