"group_id","marker_label","n_PLA","n_platelet_free","pla_median","platelet_free_median","median_difference","platelet_free_q95","pla_q25","platelet_free_above_pla_q25"
"637C","CD42b",27,352,0,0,0,0.776847671010697,0,1
"D496","CD42b",5,1576,0,0,0,0.462036467625054,0,1
"D512","CD42b",55,4524,0.462036467625054,0.462036467625054,0,1.01592231080253,0.462036467625054,0.502652519893899
"D533","CD42b",5,1917,0.462036467625054,0.462036467625054,0,1.05448291224962,0.462036467625054,0.621283255086072
"D570","CD42b",36,2937,0.462036467625054,0.462036467625054,0,1.01592231080253,0,1
"D543","CD42b",54,2944,1.01592231080253,0.776847671010697,0.239074639791829,1.37029605208792,0.776847671010697,0.560122282608696
"694B","CD42b",6,211,0.776847671010697,0.462036467625054,0.314811203385643,1.37029605208792,0.540739268471464,0.450236966824645
"768B","CD42b",83,2638,0.776847671010697,0.462036467625054,0.314811203385643,1.01592231080253,0.462036467625054,0.581501137225171
"D523","CD42b",10,1678,0.776847671010697,0.462036467625054,0.314811203385643,1.01592231080253,0.540739268471464,0.311680572109654
"D528","CD42b",36,3916,0.776847671010697,0.462036467625054,0.314811203385643,1.01592231080253,0.698144870164286,0.203268641470889
"D534","CD42b",17,5366,0.776847671010697,0.462036467625054,0.314811203385643,1.01592231080253,0.776847671010697,0.203503540812523
"759B","CD42b",1095,5391,0.462036467625054,0,0.462036467625054,0.776847671010697,0,1
"D520","CD42b",6,2976,1.01592231080253,0.462036467625054,0.553885843177472,1.01592231080253,0.836616330958654,0.0917338709677419
"D564","CD42b",41,2124,1.01592231080253,0.462036467625054,0.553885843177472,1.34606044198044,0.462036467625054,0.782485875706215
"778C","CD42b",201,439,0.776847671010697,0,0.776847671010697,1.01592231080253,0.462036467625054,0.492027334851936
"D529","CD42b",80,3230,0.776847671010697,0,0.776847671010697,1.01592231080253,0.462036467625054,0.454179566563467
"621B","CD42b",0,33,NA,0,NA,0.462036467625054,NA,NA
"D503","CD42b",0,4299,NA,0,NA,0.462036467625054,NA,NA
"D533","CD62P",5,1917,0.688623481043053,0.402451583333735,0.286171897709319,0.910859831596717,0,1
"D570","CD62P",36,2937,0.799741656319885,0.402451583333735,0.39729007298615,1.09257613033121,0.617080506615724,0.284644194756554
"694B","CD62P",6,211,0.910859831596717,0.402451583333735,0.508408248262982,1.24629425857504,0.52955364539948,0.407582938388626
"D512","CD62P",55,4524,1.09257613033121,0.402451583333735,0.690124546997477,1.09257613033121,0.688623481043053,0.303492484526967
"D523","CD62P",10,1678,1.09257613033121,0.402451583333735,0.690124546997477,1.09257613033121,0.744182568681469,0.165673420738975
"D564","CD62P",41,2124,1.09257613033121,0.402451583333735,0.690124546997477,1.24629425857504,0.688623481043053,0.459039548022599
"D520","CD62P",6,2976,1.3128976866289,0.402451583333735,0.910446103295163,1.09257613033121,1.13100566239217,0.0248655913978495
"759B","CD62P",1095,5391,1.37950111468276,0.402451583333735,0.977049531349024,1.09257613033121,0.688623481043053,0.393062511593396
"D543","CD62P",54,2944,1.74077177226953,0.688623481043053,1.05214829122647,1.60219013785644,1.27959597260197,0.12398097826087
"637C","CD62P",27,352,1.09257613033121,0,1.09257613033121,0.910859831596717,0.545537532188394,0.176136363636364
"D534","CD62P",17,5366,1.37950111468276,0,1.37950111468276,0.910859831596717,0.910859831596717,0.0544166977264256
"D528","CD62P",36,3916,1.78420856107399,0.402451583333735,1.38175697774026,1.09257613033121,1.20786472651408,0.0370275791624106
"D529","CD62P",80,3230,1.86413465443833,0.402451583333735,1.4616830711046,1.4970316602116,1.60219013785644,0.0455108359133127
"768B","CD62P",83,2638,1.4970316602116,0,1.4970316602116,0.910859831596717,1.24629425857504,0.0257771038665656
"778C","CD62P",201,439,2.00704888689397,0.402451583333735,1.60459730356023,1.37950111468276,1.60219013785644,0.0273348519362187
"D496","CD62P",5,1576,2.47659750543044,0,2.47659750543044,1.09257613033121,2.43407086976076,0.00380710659898477
"621B","CD62P",0,33,NA,0,NA,0.402451583333735,NA,NA
"D503","CD62P",0,4299,NA,0,NA,0.402451583333735,NA,NA
