"sample_id","celltype_id","n_cells","n_PLA","n_platelet_free","freq_PLA","median_nCount_RNA","median_nCount_ADT","median_percent_mt","ci_lower","ci_upper","ci_width","enough_precision","enough_negative_control","usable_celltype_sample","n_markers_total.x","n_markers_tested.x","n_markers_pass.x","mean_median_difference.x","max_pf_overlap.x","sample_adt_status","n_markers_total.y","n_markers_tested.y","n_markers_pass.y","mean_median_difference.y","max_pf_overlap.y","lineage_adt_status","extreme_high_PLA","trusted_pair","final_pair_status"
"sample17","DCs",65,0,65,0,5176,2094,5.00655307994758,0,0.0558015313228569,0.0558015313228569,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample17","NK cells",9,0,9,0,2083,452,6.11256056653,0,0.299145048419544,0.299145048419544,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample17","Macrophages",11,0,11,0,8042,2049,5.07278341420379,0,0.258832966968032,0.258832966968032,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample17","Neutrophils",2,0,2,0,4247.5,1329,5.08990500692097,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample2","B cells",3,0,3,0,22231,1810,2.49555088173435,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample2","DCs",31,0,31,0,11090,1887,5.79625719070851,0,0.110255395460436,0.110255395460436,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample2","NK cells",5,0,5,0,5070,647,7.23739791607998,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample2","Macrophages",12,0,12,0,9952.5,1558.5,5.68013101512428,0,0.242494006655241,0.242494006655241,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample2","Neutrophils",5,0,5,0,6511,891,4.99540863177227,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample27","B cells",1,0,1,0,6587,833,6.46728404432974,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample27","DCs",21,0,21,0,10559,1374,5.79600340941377,0,0.154639018924847,0.154639018924847,FALSE,TRUE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample27","NK cells",2,0,2,0,9752.5,499.5,6.29186026045045,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample27","Macrophages",36,0,36,0,12253,2327.5,6.62336483978879,0,0.0964186285944636,0.0964186285944636,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample27","Neutrophils",30,0,30,0,8579.5,985,4.68650152173688,0,0.113513393173969,0.113513393173969,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_not_testable"
"sample28","B cells",1,0,1,0,3238,555,6.88696726374305,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample28","DCs",1,0,1,0,10817,2550,7.37727650919848,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample28","NK cells",1,0,1,0,3526,357,3.77197958026092,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample28","Macrophages",2,0,2,0,7362,1816.5,7.66960026345013,0,0.657619772493347,0.657619772493347,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample28","Neutrophils",4,0,4,0,16787,850,5.62796831730647,0,0.489890836454597,0.489890836454597,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample29","DCs",12,0,12,0,9368.5,733,5.63417265084293,0,0.242494006655241,0.242494006655241,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample29","NK cells",5,0,5,0,6265,582,6.41099026903263,2.77555756156289e-17,0.434482464783175,0.434482464783175,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample29","Macrophages",1,0,1,0,15579,484,7.36247512677322,0,0.793450685622763,0.793450685622763,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample29","Neutrophils",8,0,8,0,7817.5,668.5,6.5752067560255,0,0.32440756488388,0.32440756488388,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample30","B cells",20,0,20,0,7160.5,396.5,5.92068979961795,1.38777878078145e-17,0.161125158052819,0.161125158052819,FALSE,TRUE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample30","DCs",242,0,242,0,9703,918.5,6.1057666734742,0,0.0156257566934465,0.0156257566934465,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample30","NK cells",10,0,10,0,5987.5,363.5,6.84441579964802,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample30","CD4 T cells",9,0,9,0,5153,1780,5.82808610338263,0,0.299145048419544,0.299145048419544,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample30","Macrophages",474,0,474,0,9425.5,1141,6.43799852783375,0,0.00803919113710809,0.00803919113710809,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample30","Neutrophils",388,0,388,0,9046,814.5,6.17504038780117,0,0.00980360483613851,0.00980360483613851,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"sample_ADT_not_testable"
"sample32","DCs",36,0,36,0,12856,1445,6.86319305368332,0,0.0964186285944636,0.0964186285944636,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"sample_ADT_not_testable"
"sample32","NK cells",3,0,3,0,9735,777,7.145236508994,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample32","CD4 T cells",3,0,3,0,5769,10737,7.2454583861428,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",NA,NA,NA,NA,NA,NA,FALSE,FALSE,"frequency_QC_fail"
"sample32","Macrophages",7,0,7,0,11750,1661,7.14998337213169,0,0.354330435066687,0.354330435066687,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"frequency_QC_fail"
"sample32","Neutrophils",10,0,10,0,12313,1027,7.25067736630285,2.77555756156289e-17,0.277532799862889,0.277532799862889,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
"sample33","B cells",3,0,3,0,8178,603,6.0061919504644,0,0.561497031755045,0.561497031755045,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample33","DCs",6,0,6,0,14630.5,2679,6.77639625191675,0,0.390334287902165,0.390334287902165,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,0,0,NA,NA,"ADT_not_testable",FALSE,FALSE,"frequency_QC_fail"
"sample33","Macrophages",33,0,33,0,16329,1898,6.10597140454163,0,0.104269997542452,0.104269997542452,TRUE,TRUE,TRUE,5,0,0,NA,NA,"ADT_not_testable",5,5,1,0.681891296096804,1,"ADT_suspicious",FALSE,FALSE,"sample_ADT_not_testable"
"sample33","Neutrophils",18,0,18,0,9145.5,1391.5,6.03202677303833,0,0.175879223646658,0.175879223646658,FALSE,FALSE,FALSE,5,0,0,NA,NA,"ADT_not_testable",5,5,2,1.36452701991784,1,"ADT_ok",FALSE,FALSE,"frequency_QC_fail"
