"Matched_Signature","Matched_SIG_FILE_BASE","Rep","N_Genes","SIG_NAME","SIG_FILE_BASE","File"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",9,55,"RANDOM_GOBP_rep09","RANDOM_GOBP_rep09","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep09.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",10,55,"RANDOM_GOBP_rep10","RANDOM_GOBP_rep10","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep10.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",11,55,"RANDOM_GOBP_rep11","RANDOM_GOBP_rep11","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep11.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",12,55,"RANDOM_GOBP_rep12","RANDOM_GOBP_rep12","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep12.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",13,55,"RANDOM_GOBP_rep13","RANDOM_GOBP_rep13","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep13.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",14,55,"RANDOM_GOBP_rep14","RANDOM_GOBP_rep14","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep14.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",15,55,"RANDOM_GOBP_rep15","RANDOM_GOBP_rep15","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep15.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",16,55,"RANDOM_GOBP_rep16","RANDOM_GOBP_rep16","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep16.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",17,55,"RANDOM_GOBP_rep17","RANDOM_GOBP_rep17","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep17.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",18,55,"RANDOM_GOBP_rep18","RANDOM_GOBP_rep18","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep18.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",19,55,"RANDOM_GOBP_rep19","RANDOM_GOBP_rep19","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep19.csv"
"GOBP","GOBP_REGULATION_OF_PLATELET_ACTIVATION.v2025.1.Hs",20,55,"RANDOM_GOBP_rep20","RANDOM_GOBP_rep20","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_GOBP_rep20.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",1,261,"RANDOM_REACTOME_rep01","RANDOM_REACTOME_rep01","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep01.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",2,261,"RANDOM_REACTOME_rep02","RANDOM_REACTOME_rep02","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep02.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",3,261,"RANDOM_REACTOME_rep03","RANDOM_REACTOME_rep03","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep03.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",4,261,"RANDOM_REACTOME_rep04","RANDOM_REACTOME_rep04","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep04.csv"
"REACTOME","REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION.v2025.1.Hs",5,261,"RANDOM_REACTOME_rep05","RANDOM_REACTOME_rep05","/nfs/home/students/a.dersch/FoPra_PLAs/data/signatures/random_list/RANDOM_REACTOME_rep05.csv"
