"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"DCs","B cells","TIMP2","CD44",0.297594574837177,3117.6,0.0483238642775953,2495,0.0496192636413098,3779,0.041825760236309,3601,0.900973123973325,1751,0.092,3962
"CD8 T cells","B cells","HMGB1","TLR4",0.297970325515089,3218.2,0.0321896763439402,3963,0.0743606403188505,3518,0.0578121160412535,3473,0.851574748283614,3293,0,1844
"B cells","NK cells","HSPA8","ADRB2",0.298158343129947,3136.5,0.0426137363830449,2933,0.162365442484625,2571,0.0673366808015013,3403,0.868315968066805,2812,0.093,3963.5
"B cells","Monocytes","APP","NCSTN",0.298217867085424,2796.6,0.059485174531612,1764,0.169807515191137,2506,0.256552235584571,2203,0.739218070331797,5666,0,1844
"Monocytes","CD8 T cells","TNFSF10","RIPK1",0.298645993429289,2645.2,0.049063859604502,2435,0.169728724475545,2507,0.474330554799945,1291,0.772000112992393,5149,0,1844
"NK cells","Monocytes","ANXA2","TLR2",0.298722965509078,2622.4,0.059782891234351,1745,0.0768132224463916,3485,0.324115869406181,1888,0.893279006911373,2029,0.095,3965
"NK cells","Monocytes","HLA-DPA1","CD4",0.298722965509078,3054.4,0.032162022866965,3965,0.0856456821304588,3383,0.0721395639766119,3370,0.871341407245372,2710,0,1844
"CD4 T cells","NK cells","CD28","CD86",0.298860212779637,2711.4,0.0776341489116121,998.5,0.282603810864006,1629.5,0.203102014714986,2507.5,0.639775229760513,6577.5,0,1844
"NK cells","CD4 T cells","CD86","CD28",0.298860212779637,2711.4,0.0776341489116121,998.5,0.282603810864006,1629.5,0.203102014714986,2507.5,0.639775229760513,6577.5,0,1844
"CD4 T cells","DCs","MAML2","NOTCH2",0.299074536278761,2754,0.0541853950258414,2088,0.169655027871541,2508,0.241095751714555,2284,0.776300083894404,5046,0,1844
"B cells","B cells","TGFB1","ITGB3",0.299477125603458,2577,0.0652993465752703,1460,0.167689346085556,2524,0.349671746616089,1762,0.856229300139208,3172,0.097,3967
"Monocytes","DCs","HLA-B","LILRB2",0.299477125603458,2249,0.0569199988354704,1907,0.094529308560376,3290,-0.00829249446759883,3967,0.953635551246926,237,0,1844
"NK cells","CD4 T cells","GNAI2","CXCR3",0.299477125603458,3025.8,0.0563368993362202,1949,0.102488436422055,3204,0.0696287891055446,3384,0.874014556687052,2625,0.097,3967
"NK cells","CD8 T cells","ARPC5","ADRB2",0.299477125603458,3032.8,0.0501882621881415,2361,0.115500263702255,3063,0.112532818609826,3077,0.871855249407012,2696,0.097,3967
"DCs","NK cells","SELPLG","ITGB2",0.299477125603458,2673.6,0.0321433186676877,3967,0.127674581527444,2941,-0.0077463652381804,3961,0.93587002155552,655,0,1844
"B cells","CD4 T cells","HLA-DRB5","LAG3",0.300232808099668,2231.8,0.0422009645951643,2971,0.318405426532123,1393,0.584365091267356,982,0.824542492897685,3969,0,1844
"B cells","NK cells","TIMP1","CD63",0.300611220968294,3220.2,0.0352806141529408,3595,0.0494444381543249,3781,0.0312257551757198,3678,0.920032185671098,1077,0.098,3970
"CD8 T cells","DCs","FASLG","TNFRSF1A",0.300792876310031,2482.8,0.083734199875681,826,0.277177451175782,1667,0.200961774534288,2512,0.746821946340665,5565,0,1844
"CD4 T cells","Monocytes","MAML2","NOTCH2",0.301654550006675,2540.2,0.0540968479392274,2094,0.168890617785088,2514,0.506736508785289,1200,0.776158043883491,5049,0,1844
"CD8 T cells","NK cells","ACTR2","ADRB2",0.302128689972343,3302.8,0.0462495647455049,2640,0.112887095264798,3087,0.0837707736462009,3287,0.842599536702939,3526,0.101,3974
"NK cells","NK cells","HLA-DPA1","LAG3",0.302889719032315,3165.6,0.0373415930377331,3416,0.139259137426219,2806,-0.00950689955491116,3976,0.832643955089411,3786,0,1844
"DCs","NK cells","GNAS","ADCY7",0.302889719032315,3210,0.0320706871640524,3976,0.0733127417743638,3526,0.016801805595417,3764,0.864343374107785,2940,0,1844
"Monocytes","B cells","TIMP1","CD63",0.303270808212862,2430.4,0.0337262002386488,3769,0.0301010060809288,3977,0.433787005571444,1446,0.918358872678046,1116,0,1844
"B cells","NK cells","CD99","CD81",0.303270808212862,2341.2,0.032065164079631,3977,0.188734271546731,2334,0.182961125848536,2630,0.926034876859058,921,0,1844
"DCs","Monocytes","CALM3","KCNQ1",0.304034137321099,2466.6,0.061745485000169,1628,0.163721697518106,2557,0.233614198989486,2325,0.824214058587043,3979,0,1844
"CD8 T cells","DCs","ADAM10","NOTCH2",0.304799002688595,3180.4,0.0405277903906186,3120,0.0796447252852233,3450,0.0539459239715065,3507,0.824152513024249,3981,0,1844
"NK cells","NK cells","GNAI2","CXCR2",0.304990459342533,2466.9,0.106064182070274,536,0.278129523430091,1661,0.146802022288382,2845,0.850895356199609,3311,0.11,3981.5
"CD4 T cells","B cells","HMGB1","CD163",0.305182012193758,3657.7,0.0323755036656311,3937,0.035893174828787,3913,-0.010861970732375,3982,0.874231479979186,2617,0.015,3839.5
"CD8 T cells","B cells","HSP90B1","TLR4",0.305565406633062,2988,0.0369947257647578,3447,0.146500555859172,2744,0.136573177318707,2922,0.824069088384458,3983,0,1844
"CD8 T cells","B cells","HLA-F","LILRB2",0.305565406633062,3464.7,0.0343139445520653,3701,0.0809110473462892,3438,-0.0110928074083052,3983,0.883168631850963,2392,0.00900000000000001,3809.5
"Monocytes","NK cells","B2M","KIR3DL1",0.306290888261974,2775.9,0.113861264761907,475,0.313492728510946,1423,-0.164783040999343,5006,0.917690730758954,1139,1,5836.5
"Monocytes","B cells","GNAI2","ADCY7",0.306333351474548,2655.2,0.0319809945981243,3985,0.13918745746431,2809,0.362656215080322,1705,0.864472391013783,2933,0,1844
"DCs","Monocytes","LRPAP1","SORT1",0.306423663043854,2481,0.071175534103054,1209,0.167448630511606,2525,0.280896071048561,2083,0.793010358608902,4744,0,1844
"DCs","Monocytes","NRG1","MS4A4A",0.306859733485475,2697.6,0.0968820863904179,634,0.167060463949209,2526,0.302474993885426,1987,0.65210573406674,6497,0,1844
"DCs","CD8 T cells","HLA-E","CD8B2",0.307102839535428,2552.8,0.145165832347562,223,0.25871377427969,1798,0.045993180537414,3563,0.855553292342486,3193,0.118,3987
"CD8 T cells","Monocytes","ADAM10","NOTCH2",0.307102839535428,2867.6,0.0404615618845003,3129,0.0788803151987707,3462,0.31958668104224,1916,0.824033970002185,3987,0,1844
"DCs","NK cells","VCAN","SELL",0.307102839535428,2806.4,0.0402172167671524,3165,0.0510971644961817,3767,-0.0115598088310626,3987,0.913829364471918,1269,0,1844
"DCs","Monocytes","SPINT1","ST14",0.307296223813435,2809.8,0.0950658084960162,660,0.167048476464311,2527,0.241721432798823,2279,0.609548465863746,6739,0,1844
"DCs","Monocytes","HLA-C","LILRA1",0.307680969717186,2659.9,0.0544532893036485,2063,0.0491414926411936,3786,0.212784240286836,2453,0.922739780367647,1009,0.121,3988.5
"Monocytes","CD4 T cells","HLA-DPA1","CD4",0.307873873140412,3421.8,0.0319627693305372,3989,0.0669241902726515,3601,0.121035912496028,3015,0.870992660895123,2724,0.004,3780
"CD4 T cells","B cells","RPS19","C5AR1",0.308170464835436,2463.4,0.029858818239111,4261,0.17868077235162,2436,0.19869438773211,2529,0.914345708444375,1247,0,1844
"DCs","DCs","CALM3","KCNQ1",0.308259970249051,2640.2,0.061465936533188,1647,0.162470274041971,2570,0.100945439264389,3150,0.823885093018097,3990,0,1844
"DCs","DCs","ICAM2","ITGAL_ITGB2",0.308646454616539,2884.4,0.0319519182063858,3991,0.139207005639251,2808,0.0472595970538501,3555,0.887915969442731,2224,0,1844
"DCs","Monocytes","SELPLG","ITGB2",0.309033326534121,2389.2,0.0319518144084391,3992,0.118963749049126,3020,0.217148971401705,2429,0.935690466790976,661,0,1844
"B cells","NK cells","CFP","NCR1",0.309189231211913,2571.8,0.127901378324878,351,0.525247373938674,598,0.178811488318876,2651,0.751692084710298,5493,0.003,3766
"CD4 T cells","NK cells","NUCB2","ERAP1",0.309484979932102,3106.2,0.0479562945335108,2521,0.168443955767794,2517,0.197784026129145,2532,0.700551142219488,6117,0,1844
"Monocytes","B cells","PKM","CD44",0.309808234185277,2981.8,0.0326339521744775,3898,0.0288822945025902,3994,0.249924281541784,2236,0.92724721558705,884,0.039,3897
"CD8 T cells","DCs","ARF6","SMAP1",0.310584695535399,3293.4,0.0319434506286396,3996,0.105917541300205,3161,0.0578718233245726,3471,0.823714754544081,3995,0,1844
