"source","target","ligand.complex","receptor.complex","aggregate_rank","mean_rank","natmi.edge_specificity","natmi.rank","connectome.weight_sc","connectome.rank","logfc.logfc_comb","logfc.rank","sca.LRscore","sca.rank","cellphonedb.pvalue","cellphonedb.rank"
"DCs","Monocytes","S100A8","TLR4",0.00130284644049846,544.4,0.181906334833625,158,2.00433747421618,29,2.58035456145698,24,0.940948653473547,634,0,1877
"Monocytes","Monocytes","CD14","ITGB2",0.00132735337976265,552,0.114854738153879,600,1.84812648829692,48,2.04995268994446,76,0.962103790652505,159,0,1877
"Monocytes","Monocytes","LGALS9","LRP1",0.00137727034881531,687,0.182417794764145,156,1.91068195293974,38,1.64519768814777,161,0.922262366173935,1203,0,1877
"CD8 T cells","CD8 T cells","HLA-E","CD8B",0.0014185774646304,590.2,0.169718183453869,211,1.05101801159541,464,1.53429851154422,213,0.961157129178638,186,0,1877
"DCs","DCs","PSAP","LRP1",0.00151697677287674,573.2,0.128086409922933,472,1.92560577282584,36,2.08196694933692,71,0.950886020445019,410,0,1877
"NK cells","CD8 T cells","HLA-E","CD8A",0.00155514668117139,596.4,0.159221349836394,263,1.04431610768965,475,1.55630157359302,202,0.961927091719181,165,0,1877
"DCs","Monocytes","S100A9","TLR4",0.00158922915785022,550.6,0.178428956447866,169,1.98702202292972,31,2.45165315092001,33,0.940533938871637,643,0,1877
"CD8 T cells","CD8 T cells","HLA-E","CD8A",0.00182805068060751,618.8,0.158171042762877,268,1.03192962147191,495,1.43220594651892,283,0.961805712721637,171,0,1877
"CD4 T cells","CD8 T cells","LCK","CD8A_CD8B",0.00185716197771604,601.4,0.283944651349302,27,1.08783108628462,428,1.60298930389119,178,0.94703243243793,497,0,1877
"DCs","DCs","CD14","TLR4",0.00188284687459133,831.6,0.176699119314199,179,1.88964596375437,43,1.66954398715479,151,0.900776983592788,1908,0,1877
"DCs","Monocytes","GRN","TNFRSF1B",0.00191641064932085,590.2,0.125320366603744,501,1.68401251468636,66,2.00301412758323,84,0.950484706900863,423,0,1877
"Monocytes","Monocytes","S100A12","CD36",0.00197737293325717,560.4,0.175991296995636,182,1.97753736797725,32,2.27038961207142,49,0.939950184177447,662,0,1877
"Monocytes","DCs","S100A12","CD36",0.00217562743213934,563.6,0.174005297581441,188,1.96447593500716,33,2.25425827108514,51,0.939629098555244,669,0,1877
"DCs","B cells","TNFSF13B","HLA-DPB1",0.00221711037631786,583.4,0.145051171487078,340,1.58403908003576,85,1.93760402718241,95,0.945687305028536,520,0,1877
"Monocytes","Monocytes","CD14","TLR6",0.00238644868964639,1097.4,0.200013358181851,112,1.6721443972683,68,1.57186073418936,194,0.844735674247458,3236,0,1877
"Monocytes","DCs","VCAN","TLR2",0.00238644868964639,736.2,0.173053086730178,194,1.89715000821246,41,1.86834432904583,112,0.914873979061978,1457,0,1877
"Monocytes","DCs","CD14","ITGB2",0.00238644868964639,580.2,0.107484288121523,685,1.77102242174799,55,1.96017184994202,90,0.960876008072425,194,0,1877
